trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99995000041666526}",25,0,-83.04376154564099,"{0: 13, 1: 7, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.99980000666657776}",25,0,-123.94994978855527,"{0: 13, 1: 1, 2: 10, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.99955003374898754}",20,0,-125.64461998211578,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.99920010666097792}",25,0,-266.1913270335461,"{0: 11, 1: 1, 2: 7, 3: 2, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.99875026039496628}",20,0,-200.95747899544006,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.99820053993520419}",20,0,-114.81608283030064,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.99755100025327959}",20,14,-2.6697825811141356,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.99680170630261944}",20,0,-58.06762224063632,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.99595273301199427}",30,0,-268.4400565825427,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.99500416527802582}",20,0,-67.01650011202629,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.99395609795669682}",30,0,-163.9764405593077,"{0: 17, 1: 3, 2: 5, 3: 4, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.99280863585386625}",25,0,-207.16558530842238,"{0: 12, 1: 0, 2: 8, 3: 3, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.99156189371478809}",20,0,-105.66360256596647,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.99021599621263712}",20,4,-128.29518535100092,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 3}",1
15,False,"{'a': 0.5, 'e': 0.98877107793604224}",25,0,-151.87415789391127,"{0: 14, 1: 6, 2: 2, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.98722728337562693}",30,0,-107.02723757937143,"{0: 17, 1: 3, 2: 9, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.98558476690956076}",20,1,-125.39476637278048,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.98384369278812145}",25,0,-126.11883757085921,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.98200423511727031}",30,0,-223.81186969560048,"{0: 15, 1: 6, 2: 5, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': 0.98006657784124163}",20,0,-137.19352651743566,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.97803091472414827}",20,0,-111.502616368422,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.97589744933060552}",20,0,-84.72241105668917,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.97366639500537489}",30,0,-149.91257539527757,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.97133797485202966}",20,5,-70.72867088695283,"{0: 8, 1: 3, 2: 3, 3: 0, 4: 1}",1
25,False,"{'a': 0.5, 'e': 0.96891242171064473}",20,0,-154.7554175469594,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.96638997813451322}",20,0,-92.7810098940027,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.96377089636589053}",20,0,-23.20624782842031,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.96105543831077089}",25,0,-171.34728292135947,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
