trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99995000041666526}",25,0,-17.748124388124985,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.99980000666657776}",20,0,-120.69104371770253,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.99955003374898754}",20,0,-131.5029297042941,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.99920010666097792}",25,6,-150.3158190349536,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 3}",1
5,False,"{'a': 0.5, 'e': 0.99875026039496628}",20,0,-174.94112424007366,"{0: 7, 1: 4, 2: 4, 3: 4, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.99820053993520419}",20,0,-133.53514320753285,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.99755100025327959}",25,0,-105.85943645830397,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.99680170630261944}",25,0,-74.59798112305698,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.99595273301199427}",30,0,-140.0808829854607,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.99500416527802582}",20,0,-82.51120793865749,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.99395609795669682}",25,0,-124.87221666069473,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.99280863585386625}",25,0,-195.54849049444996,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.99156189371478809}",30,0,-51.40272728385429,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.99021599621263712}",20,0,-42.04936535770979,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.98877107793604224}",30,0,-235.86209440149594,"{0: 16, 1: 2, 2: 6, 3: 3, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.98722728337562693}",25,0,-281.03178156349867,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 5}",0
17,False,"{'a': 0.5, 'e': 0.98558476690956076}",25,0,-130.8679918695231,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.98384369278812145}",30,0,-161.67479237893852,"{0: 15, 1: 5, 2: 6, 3: 3, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.98200423511727031}",20,0,-53.26822978874904,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.98006657784124163}",35,0,-281.57959856753735,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 5}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-137.63476231776897,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-74.2154486454751,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",30,0,-162.80409479019517,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-30.7768435197151,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-78.30189566632139,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-83.82683801675532,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-54.31469815888184,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-106.4237274883096,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-127.98079779320233,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
10,True,"{'a': 0.0, 'e': 0.0}",35,0,-185.8408031286237,"{0: 22, 1: 2, 2: 8, 3: 0, 4: 3}",0
11,True,"{'a': 0.0, 'e': 0.0}",20,0,-50.65466779265482,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
12,True,"{'a': 0.0, 'e': 0.0}",20,0,-80.84451686344661,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
13,True,"{'a': 0.0, 'e': 0.0}",25,0,-148.61697118445576,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
14,True,"{'a': 0.0, 'e': 0.0}",25,0,-154.85931323661148,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
15,True,"{'a': 0.0, 'e': 0.0}",20,8,-30.29728522276281,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
